ANIO;RAZON_SOCIAL_ANONIMIZADA;RUBRO;TIPO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;NIVEL_DIGITALIZACION;DIG_GENERAL;GESTION_EMPRESARIAL;COMERCIO_ELECTRONICO;ANALISIS_DE_DATOS;MARKETING_DIGITAL;MEDIOS_DE_PAGO;FINANZAS;FECHA_INICIO;FECHA_FIN;TIEMPO_DEMORA_MINUTOS;FECHA_REGISTRO;AUT_PUBLICIDAD;FECHA_PUB_PNDA
2022;7F6F71278974A164DB934D037C33BEDA47928F4F5DA21FB4954AEB6E2F61DEE9;Servicios en General;NATURAL;AMAZONAS;BAGUA;BAGUA;10201;Básico;26;25;12,5;50;27;25;37,5;20220727;20220727;5;20220727;SI;20240528
2022;01D169C782995F054A0FC81757F895405E3392EC6F5EE69CECDF378E6BE6FD57;Alimentos y Bebidas;NATURAL;AMAZONAS;BAGUA;BAGUA;10201;Básico;27;33,33;25;50;21;25;12,5;20221221;20221221;1;20220418;SI;20240528
2022;711A3135F5FF449AA75582A64C0DBE1CA7F07F9BA5AE86AC24A237C0B0E81665;Transporte y Aduanas;JURIDICA;AMAZONAS;BAGUA;BAGUA;10201;Intermedio;61;66,67;12,5;50;95;100;56,25;20220218;20220218;5;20220218;SI;20240528
2022;147F84D3C5797ADE4AAD605C16137DE406B8DB6D5C6C5B9F533B6972C45EDD6A;Servicios Administrativos y Contables;JURIDICA;AMAZONAS;BAGUA;BAGUA;10201;Inicial;17;20,84;12,5;0;15;25;37,5;20220301;20220301;1;20220301;SI;20240528
2022;7F2880951714146EB630A1380ECC6BC08AD67E3901A9B16116A08D6F50A133CE;Educación y Cultura;NATURAL;AMAZONAS;BAGUA;BAGUA;10201;Básico;49;58,34;50;75;30;50;62,5;20221208;20221208;1;20220413;SI;20240528
2022;8356B5E35BF89000AEB6CA31554A9836819CAFD587F5290A74179283EE1D83EC;Salud y Bienestar;NATURAL;AMAZONAS;BAGUA;BAGUA;10201;Básico;43;16,67;50;75;35;50;62,5;20221208;20221208;0;20220414;SI;20240528
2021;7A913F048AB112349266FC0536605EE7D2D1FC1417B4A51ED69DC01270616501;Alimentos y Bebidas;JURIDICA;AMAZONAS;BAGUA;BAGUA;10201;Básico;47;58,34;50;50;42;0;56,25;20211104;20221215;583807;20211104;SI;20240528
2021;B7A47BD9B3A8E102EDE5F9AB755A3CBF4123FC2AD0AB681D9E5B21244BE5CA4B;Servicios en General;NATURAL;AMAZONAS;BAGUA;BAGUA;10201;Intermedio;65;100;62,5;50;46;50;81,25;20211008;20221125;594577;20210707;SI;20240528
2021;9E57462FB2FF2FC7500388CF1DBCDE4C1ED968AE2755C3BB479CA1BB84EC9B8E;Construcción y Agro;JURIDICA;AMAZONAS;BAGUA;BAGUA;10201;Inicial;16;20,84;0;25;27;0;12,5;20211126;20211126;31;20211126;SI;20240528
2022;4380F765213B6AE88B14C83109BEBBA4C2193AC31F3838473C1A68D9AD2968F2;Servicios en General;NATURAL;AMAZONAS;BAGUA;IMAZA;10205;Básico;43;33,33;62,5;50;26;50;56,25;20221208;20221208;1;20220420;SI;20240528
